         1310224 function calls (1295341 primitive calls) in 2.278 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 __init__.py:828(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:831(createLock)
      304    0.000    0.000    0.000    0.000 __init__.py:848(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:872(copy)
        1    0.000    0.000    0.000    0.000 __init__.py:873(<dictcomp>)
        1    0.000    0.000    0.009    0.009 __init__.py:876(rc_params)
        1    0.000    0.000    0.000    0.000 __init__.py:884(is_url)
       54    0.000    0.000    0.002    0.000 __init__.py:889(_open_file_or_url)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
       27    0.005    0.000    0.022    0.001 __init__.py:904(_rc_params_in_file)
       27    0.000    0.000    0.030    0.001 __init__.py:969(rc_params_from_file)
        1    0.000    0.000    0.003    0.003 __init__.py:97(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:982(StreamHandler)
        3    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:991(<listcomp>)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6702(numeric_type_aliases)
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6703(type_aliases_gen)
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
       27    0.000    0.000    0.000    0.000 _add_newdocs.py:6743(<genexpr>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6744(<genexpr>)
    30631    0.011    0.000    0.023    0.000 _asarray.py:16(asarray)
        1    0.000    0.000    0.000    0.000 _asarray.py:5(<module>)
    12662    0.005    0.000    0.016    0.000 _asarray.py:88(asanyarray)
        1    0.000    0.000    0.059    0.059 _axes.py:1(<module>)
        1    0.000    0.000    0.014    0.014 _axes.py:97(Axes)
        1    0.000    0.000    0.010    0.010 _backend_tk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:126(FigureCanvasTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:408(FigureManagerTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:505(NavigationToolbar2Tk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:648(ToolTip)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:698(RubberbandTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:714(SetCursorTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:720(ToolbarTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:798(StatusbarTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:815(SaveFigureTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:82(TimerTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:821(ConfigureSubplotsTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:850(HelpTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:866(_BackendTk)
        1    0.000    0.000    0.009    0.009 _base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:117(_process_plot_var_args)
        1    0.000    0.000    0.000    0.000 _base.py:367(_AxesBase)
       28    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _cm.py:160(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _cm.py:66(cubehelix)
        1    0.000    0.000    0.000    0.000 _cm.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1804(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:367(__subclasshook__)
       21    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
       11    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
       31    0.000    0.000    0.010    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
       11    0.000    0.000    0.000    0.000 _color_data.py:32(<genexpr>)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _common.py:13(tzname_in_python2)
        3    0.000    0.000    0.000    0.000 _common.py:132(_validate_fromutc_inputs)
        1    0.000    0.000    0.000    0.000 _common.py:149(_tzinfo)
        1    0.000    0.000    0.000    0.000 _common.py:267(tzrangebase)
        1    0.000    0.000    0.000    0.000 _common.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _common.py:6(weekday)
       14    0.000    0.000    0.000    0.000 _common.py:9(__init__)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _constrained_layout.py:16(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:144(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:169(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:272(DataSource)
        1    0.000    0.000    0.005    0.005 _datasource.py:36(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:626(Repository)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:10(<module>)
       16    0.000    0.000    0.000    0.000 _dtype.py:36(_kind_name)
        1    0.000    0.000    0.000    0.000 _dtype.py:5(<module>)
